30/04/2019 - 14:08:48 | INFO  | listeners.LogListener.onStart(LogListener.java:27) -> onStart() -> About to begin executing Suite Full TestSuite
30/04/2019 - 14:08:48 | INFO  | listeners.LogListener.beforeInvocation(LogListener.java:12) -> beforeInvocation() -> About to begin executing ReadFromFileTestCase.prepareData
30/04/2019 - 14:08:48 | INFO  | utils.DataToFile.toJson(DataToFile.java:55) -> toJson() -> File cities.json in folder D:\Documents\IdeaProjects_Data was created
30/04/2019 - 14:08:49 | INFO  | utils.DataToFile.toXML(DataToFile.java:49) -> toXML() -> File cities.xml in folder D:\Documents\IdeaProjects_Data was created
30/04/2019 - 14:08:49 | INFO  | utils.DataToFile.toExcel(DataToFile.java:71) -> toExcel() -> File cities.xls in folder D:\Documents\IdeaProjects_Data was created
30/04/2019 - 14:08:49 | INFO  | listeners.LogListener.afterInvocation(LogListener.java:17) -> afterInvocation() -> Completed executing ReadFromFileTestCase.prepareData
30/04/2019 - 14:08:49 | INFO  | listeners.LogListener.beforeInvocation(LogListener.java:12) -> beforeInvocation() -> About to begin executing ReadFromFileTestCase.checkReadDataFromEmptyFilePath
30/04/2019 - 14:08:49 | INFO  | listeners.LogListener.afterInvocation(LogListener.java:17) -> afterInvocation() -> Completed executing ReadFromFileTestCase.checkReadDataFromEmptyFilePath
30/04/2019 - 14:08:49 | INFO  | listeners.LogListener.beforeInvocation(LogListener.java:12) -> beforeInvocation() -> About to begin executing ReadFromFileTestCase.checkReadDataFromExcel
30/04/2019 - 14:08:49 | INFO  | listeners.LogListener.afterInvocation(LogListener.java:17) -> afterInvocation() -> Completed executing ReadFromFileTestCase.checkReadDataFromExcel
30/04/2019 - 14:08:49 | INFO  | listeners.LogListener.beforeInvocation(LogListener.java:12) -> beforeInvocation() -> About to begin executing ReadFromFileTestCase.checkReadDataFromFilePathWithWrongExtension
30/04/2019 - 14:08:49 | INFO  | listeners.LogListener.afterInvocation(LogListener.java:17) -> afterInvocation() -> Completed executing ReadFromFileTestCase.checkReadDataFromFilePathWithWrongExtension
30/04/2019 - 14:08:49 | INFO  | listeners.LogListener.beforeInvocation(LogListener.java:12) -> beforeInvocation() -> About to begin executing ReadFromFileTestCase.checkReadDataFromFileWithDot
30/04/2019 - 14:08:49 | INFO  | listeners.LogListener.afterInvocation(LogListener.java:17) -> afterInvocation() -> Completed executing ReadFromFileTestCase.checkReadDataFromFileWithDot
30/04/2019 - 14:08:49 | INFO  | listeners.LogListener.beforeInvocation(LogListener.java:12) -> beforeInvocation() -> About to begin executing ReadFromFileTestCase.checkReadDataFromFileWithoutExtension
30/04/2019 - 14:08:49 | INFO  | listeners.LogListener.afterInvocation(LogListener.java:17) -> afterInvocation() -> Completed executing ReadFromFileTestCase.checkReadDataFromFileWithoutExtension
30/04/2019 - 14:08:49 | INFO  | listeners.LogListener.beforeInvocation(LogListener.java:12) -> beforeInvocation() -> About to begin executing ReadFromFileTestCase.checkReadDataFromJson
30/04/2019 - 14:08:49 | INFO  | listeners.LogListener.afterInvocation(LogListener.java:17) -> afterInvocation() -> Completed executing ReadFromFileTestCase.checkReadDataFromJson
30/04/2019 - 14:08:49 | INFO  | listeners.LogListener.beforeInvocation(LogListener.java:12) -> beforeInvocation() -> About to begin executing ReadFromFileTestCase.checkReadDataFromNullFilePath
30/04/2019 - 14:08:49 | INFO  | listeners.LogListener.afterInvocation(LogListener.java:17) -> afterInvocation() -> Completed executing ReadFromFileTestCase.checkReadDataFromNullFilePath
30/04/2019 - 14:08:49 | INFO  | listeners.LogListener.beforeInvocation(LogListener.java:12) -> beforeInvocation() -> About to begin executing ReadFromFileTestCase.checkReadDataFromXML
30/04/2019 - 14:08:49 | INFO  | listeners.LogListener.afterInvocation(LogListener.java:17) -> afterInvocation() -> Completed executing ReadFromFileTestCase.checkReadDataFromXML
30/04/2019 - 14:08:49 | INFO  | listeners.LogListener.beforeInvocation(LogListener.java:12) -> beforeInvocation() -> About to begin executing ReadFromFileTestCase.deleteData
30/04/2019 - 14:08:49 | INFO  | ReadFromFileTestCase.deleteData(ReadFromFileTestCase.java:105) -> deleteData() -> File cities.json in folder D:\Documents\IdeaProjects_Data was deleted
30/04/2019 - 14:08:49 | INFO  | ReadFromFileTestCase.deleteData(ReadFromFileTestCase.java:105) -> deleteData() -> File cities.xml in folder D:\Documents\IdeaProjects_Data was deleted
30/04/2019 - 14:08:49 | INFO  | ReadFromFileTestCase.deleteData(ReadFromFileTestCase.java:105) -> deleteData() -> File cities.xls in folder D:\Documents\IdeaProjects_Data was deleted
30/04/2019 - 14:08:49 | INFO  | listeners.LogListener.afterInvocation(LogListener.java:17) -> afterInvocation() -> Completed executing ReadFromFileTestCase.deleteData
30/04/2019 - 14:08:49 | INFO  | listeners.LogListener.onFinish(LogListener.java:32) -> onFinish() -> About to end executing Suite Full TestSuite
30/04/2019 - 14:09:25 | INFO  | listeners.LogListener.onStart(LogListener.java:27) -> onStart() -> About to begin executing Suite Special TestSuite
30/04/2019 - 14:09:25 | INFO  | listeners.LogListener.beforeInvocation(LogListener.java:12) -> beforeInvocation() -> About to begin executing ReadFromFileTestCase.prepareData
30/04/2019 - 14:09:25 | INFO  | utils.DataToFile.toJson(DataToFile.java:55) -> toJson() -> File cities.json in folder D:\Documents\IdeaProjects_Data was created
30/04/2019 - 14:09:25 | INFO  | utils.DataToFile.toXML(DataToFile.java:49) -> toXML() -> File cities.xml in folder D:\Documents\IdeaProjects_Data was created
30/04/2019 - 14:09:25 | INFO  | utils.DataToFile.toExcel(DataToFile.java:71) -> toExcel() -> File cities.xls in folder D:\Documents\IdeaProjects_Data was created
30/04/2019 - 14:09:25 | INFO  | listeners.LogListener.afterInvocation(LogListener.java:17) -> afterInvocation() -> Completed executing ReadFromFileTestCase.prepareData
30/04/2019 - 14:09:25 | INFO  | listeners.LogListener.beforeInvocation(LogListener.java:12) -> beforeInvocation() -> About to begin executing ReadFromFileTestCase.checkReadDataFromEmptyFilePath
30/04/2019 - 14:09:25 | INFO  | listeners.LogListener.afterInvocation(LogListener.java:17) -> afterInvocation() -> Completed executing ReadFromFileTestCase.checkReadDataFromEmptyFilePath
30/04/2019 - 14:09:25 | INFO  | listeners.LogListener.beforeInvocation(LogListener.java:12) -> beforeInvocation() -> About to begin executing ReadFromFileTestCase.checkReadDataFromExcel
30/04/2019 - 14:09:26 | INFO  | listeners.LogListener.afterInvocation(LogListener.java:17) -> afterInvocation() -> Completed executing ReadFromFileTestCase.checkReadDataFromExcel
30/04/2019 - 14:09:26 | INFO  | listeners.LogListener.beforeInvocation(LogListener.java:12) -> beforeInvocation() -> About to begin executing ReadFromFileTestCase.deleteData
30/04/2019 - 14:09:26 | INFO  | ReadFromFileTestCase.deleteData(ReadFromFileTestCase.java:105) -> deleteData() -> File cities.json in folder D:\Documents\IdeaProjects_Data was deleted
30/04/2019 - 14:09:26 | INFO  | ReadFromFileTestCase.deleteData(ReadFromFileTestCase.java:105) -> deleteData() -> File cities.xml in folder D:\Documents\IdeaProjects_Data was deleted
30/04/2019 - 14:09:26 | INFO  | ReadFromFileTestCase.deleteData(ReadFromFileTestCase.java:105) -> deleteData() -> File cities.xls in folder D:\Documents\IdeaProjects_Data was deleted
30/04/2019 - 14:09:26 | INFO  | listeners.LogListener.afterInvocation(LogListener.java:17) -> afterInvocation() -> Completed executing ReadFromFileTestCase.deleteData
30/04/2019 - 14:09:26 | INFO  | listeners.LogListener.onFinish(LogListener.java:32) -> onFinish() -> About to end executing Suite Special TestSuite
